r002,r003,r004,r005,r006,label
9306478,10096949,87586,45,148473,maligne
9321329,10211688,90223,43,149676,maligne
9264599,10233685,86262,42,150236,maligne
9218107,10162806,89541,46,150769,maligne
9249354,10023842,89386,47,150935,maligne
9263639,9981338,86869,42,151510,maligne
9250315,10280100,91193,42,149799,maligne
9267214,10160814,87674,42,149537,maligne
9250129,10383639,91552,46,150193,maligne
9273861,9357528,91270,50,145937,maligne
9243446,10091799,88822,44,149785,maligne
9280532,10300937,93124,48,148897,maligne
9207248,10206314,88164,47,149374,maligne
9205006,10324482,93720,44,150224,maligne
9195972,10242309,91517,65,149078,maligne
9569903,10144334,88803,44,148998,maligne
9232559,9458768,91902,43,150331,maligne
9222312,10127179,88990,44,152094,maligne
9306621,10311604,91904,43,149579,maligne
9212587,10308400,94931,45,149763,maligne
9251292,10371100,85720,45,149653,maligne
9247707,10334742,90316,44,149207,maligne
9206160,10196722,88252,45,150850,maligne
9318549,9439504,89620,45,148747,maligne
9190816,10057411,88895,45,150772,maligne
9248895,10321877,89850,44,150045,maligne
9184506,9991268,91194,46,147691,maligne
9288170,10219413,85335,45,151333,maligne
9240066,10292304,91853,42,151347,maligne
9267693,10297764,88995,49,149357,maligne
9288752,10244683,92010,46,149697,maligne
9144410,10060658,87495,47,150061,maligne
9232490,10236487,85348,44,151074,maligne
9312311,10270274,86188,46,149666,maligne
9162233,10622645,82651,43,152018,maligne
9253900,10506771,87683,47,149638,maligne
9226639,10127051,91074,44,150137,maligne
9249421,10254660,88350,45,147748,maligne
9237839,10352888,85042,46,150456,maligne
9317318,10373479,85943,46,149774,maligne
9259252,9453964,92601,44,148140,maligne
9197411,10137424,85091,47,151741,maligne
9294921,10250831,90579,45,149523,maligne
9336564,10095421,85373,70,156526,maligne
9219895,10277937,87839,43,151382,maligne
9249645,10155120,93174,45,150947,maligne
9252935,10270978,86159,46,153138,maligne
9317498,9438296,91621,43,149685,maligne
9210759,10083562,85761,43,149283,maligne
9260529,10347405,91858,43,153835,maligne
9247124,10199539,92997,42,149326,maligne
9261465,9635760,87034,44,150550,maligne
9229741,10201886,94469,46,148764,maligne
9667681,10214645,88697,44,149670,maligne
9299593,9668786,90325,43,155214,maligne
9341278,9879056,86877,47,148911,maligne
9172522,10324996,89972,46,152243,maligne
9180821,10107052,91915,47,147098,maligne
9280071,10247624,87972,44,150461,maligne
9236752,10126849,92374,44,158586,maligne
9259676,9983084,88403,46,147312,maligne
9381457,8861388,90639,42,147715,maligne
9251957,10016620,84572,47,149873,maligne
9183355,10055986,87170,44,149042,maligne
9196648,10052818,93314,43,150264,maligne
9527581,9980128,87488,45,149973,maligne
9281341,9460077,88736,43,151696,maligne
9267678,10244474,85718,47,150399,maligne
9289497,10161453,86570,45,149457,maligne
9344723,10218924,89898,44,151131,maligne
9694258,10217182,85962,45,150171,maligne
9229876,10271993,93459,46,149895,maligne
9238594,10158812,87455,46,150858,maligne
9226265,10264169,89650,44,150943,maligne
