combo,benigne,maligne,maligno_ratio
"(3, 1, 2, 1, 2)",1,1,0.5
"(3, 1, 1, 3, 1)",1,1,0.5
"(2, 4, 4, 1, 2)",0,1,1.0
"(1, 1, 1, 4, 1)",0,1,1.0
"(3, 1, 3, 2, 2)",0,1,1.0
"(3, 1, 3, 1, 2)",2,1,0.3333333333333333
"(1, 1, 1, 1, 3)",0,1,1.0
"(4, 4, 4, 4, 4)",36,0,0.0
"(1, 1, 3, 4, 1)",16,0,0.0
"(1, 1, 3, 3, 4)",2,0,0.0
"(1, 1, 3, 1, 4)",1,0,0.0
"(1, 1, 3, 1, 3)",30,0,0.0
"(4, 4, 4, 2, 1)",1,0,0.0
"(4, 4, 4, 2, 2)",1,0,0.0
"(4, 4, 4, 3, 2)",1,0,0.0
"(4, 4, 4, 4, 1)",1,0,0.0
"(4, 4, 4, 4, 2)",3,0,0.0
"(2, 1, 3, 1, 1)",1,0,0.0
"(2, 1, 3, 2, 1)",85,0,0.0
"(2, 1, 3, 2, 2)",24,0,0.0
"(2, 1, 3, 2, 4)",2,0,0.0
"(4, 4, 2, 2, 1)",198,0,0.0
"(4, 3, 4, 4, 2)",7,0,0.0
"(4, 3, 4, 4, 4)",30,0,0.0
"(4, 4, 1, 1, 1)",439,0,0.0
"(4, 4, 1, 1, 2)",150,0,0.0
"(4, 4, 1, 2, 1)",204,0,0.0
"(4, 4, 1, 2, 2)",57,0,0.0
"(2, 4, 3, 4, 4)",3,0,0.0
"(2, 4, 4, 4, 3)",9,0,0.0
"(3, 1, 1, 1, 2)",1,0,0.0
"(3, 1, 1, 2, 2)",1,0,0.0
"(3, 1, 1, 2, 3)",1,0,0.0
"(3, 1, 2, 1, 4)",1,0,0.0
"(1, 3, 3, 4, 3)",5,0,0.0
"(3, 1, 2, 2, 3)",1,0,0.0
"(3, 1, 2, 2, 4)",5,0,0.0
"(3, 1, 2, 3, 3)",2,0,0.0
"(3, 1, 2, 3, 4)",18,0,0.0
"(3, 1, 2, 4, 3)",4,0,0.0
"(3, 1, 2, 4, 4)",8,0,0.0
"(3, 1, 3, 1, 3)",3,0,0.0
"(3, 1, 3, 1, 4)",2,0,0.0
"(3, 1, 3, 2, 3)",4,0,0.0
"(1, 3, 2, 2, 4)",11,0,0.0
"(1, 3, 2, 3, 3)",1,0,0.0
"(1, 3, 2, 3, 4)",6,0,0.0
"(1, 3, 2, 4, 4)",13,0,0.0
"(2, 4, 3, 1, 2)",2,0,0.0
"(2, 4, 3, 3, 4)",2,0,0.0
"(2, 4, 1, 2, 4)",2,0,0.0
"(3, 1, 3, 3, 4)",150,0,0.0
"(3, 1, 3, 4, 4)",959,0,0.0
"(3, 1, 4, 1, 3)",3,0,0.0
"(3, 1, 4, 1, 4)",1,0,0.0
"(3, 1, 4, 3, 4)",1,0,0.0
"(3, 1, 4, 4, 2)",7,0,0.0
"(3, 1, 4, 4, 4)",101,0,0.0
"(3, 2, 1, 1, 2)",1,0,0.0
"(3, 2, 1, 1, 3)",9,0,0.0
"(3, 2, 4, 3, 3)",1,0,0.0
"(3, 2, 1, 2, 1)",1,0,0.0
"(3, 2, 1, 2, 3)",1,0,0.0
"(3, 2, 1, 3, 3)",1,0,0.0
"(3, 2, 2, 1, 1)",1,0,0.0
"(3, 2, 2, 1, 3)",11,0,0.0
"(1, 3, 1, 1, 3)",41,0,0.0
"(1, 3, 1, 1, 4)",352,0,0.0
"(1, 3, 1, 2, 3)",6,0,0.0
"(1, 3, 1, 2, 4)",7,0,0.0
"(1, 3, 1, 3, 3)",3,0,0.0
"(1, 3, 1, 3, 4)",4,0,0.0
"(1, 3, 3, 4, 4)",5,0,0.0
"(1, 3, 2, 1, 3)",12,0,0.0
"(1, 3, 2, 1, 4)",394,0,0.0
"(1, 3, 2, 2, 3)",2,0,0.0
"(1, 3, 3, 1, 4)",230,0,0.0
"(1, 3, 3, 2, 3)",1,0,0.0
"(1, 3, 3, 2, 4)",3,0,0.0
"(1, 3, 3, 3, 3)",3,0,0.0
