combo,benigne,maligne
"(3, 3, 1, 1, 2)",31,0
"(3, 3, 1, 2, 1)",15,0
"(3, 3, 1, 2, 2)",6,0
"(3, 3, 1, 3, 1)",4,0
"(1, 2, 3, 4, 3)",5,0
"(1, 2, 3, 4, 4)",1,0
"(1, 2, 4, 4, 4)",4,0
"(1, 3, 1, 4, 3)",1,0
"(2, 4, 1, 3, 4)",2,0
"(2, 4, 2, 2, 4)",1,0
"(1, 3, 3, 1, 3)",4,0
"(1, 4, 2, 1, 3)",230,0
"(1, 4, 2, 1, 4)",608,0
"(1, 4, 3, 1, 3)",114,0
"(3, 3, 1, 4, 3)",1,0
"(3, 3, 2, 1, 1)",151,0
"(3, 3, 2, 2, 1)",53,0
"(3, 3, 2, 2, 2)",50,0
"(3, 3, 2, 3, 2)",43,0
"(3, 3, 2, 4, 2)",12,0
"(3, 3, 2, 4, 3)",2,0
"(3, 3, 3, 1, 1)",18,0
"(3, 2, 4, 4, 3)",48,0
"(2, 3, 2, 4, 4)",4,0
"(2, 3, 3, 4, 1)",1,0
"(2, 3, 3, 4, 2)",9,0
"(2, 3, 3, 4, 4)",11,0
"(1, 4, 3, 1, 4)",360,0
"(1, 4, 3, 2, 3)",15,0
"(1, 4, 3, 2, 4)",19,0
"(3, 3, 3, 2, 1)",8,0
"(3, 3, 3, 2, 2)",11,0
"(3, 3, 3, 3, 1)",2,0
"(1, 2, 3, 1, 3)",12,0
"(1, 2, 3, 1, 4)",7,0
"(1, 2, 3, 2, 3)",1,0
"(3, 3, 1, 3, 2)",3,0
"(1, 4, 1, 2, 3)",44,0
"(1, 4, 1, 2, 4)",34,0
"(1, 4, 1, 3, 3)",25,0
"(1, 4, 1, 3, 4)",28,0
"(1, 4, 1, 4, 3)",7,0
"(1, 4, 1, 4, 4)",6,0
"(2, 2, 3, 4, 3)",11,0
"(2, 2, 3, 4, 4)",8,0
"(1, 4, 2, 2, 4)",24,0
"(1, 4, 2, 3, 4)",29,0
"(1, 4, 2, 4, 3)",3,0
"(1, 4, 2, 4, 4)",17,0
"(3, 3, 3, 4, 2)",62,0
"(3, 3, 4, 4, 3)",18,0
"(3, 3, 4, 4, 4)",22,0
"(3, 4, 1, 1, 1)",92,0
"(3, 4, 1, 2, 1)",25,0
"(3, 4, 1, 2, 2)",12,0
"(3, 4, 1, 3, 1)",10,0
"(1, 2, 1, 1, 4)",26,0
